D:\Downloads\simulator-windows-64\Ans0001\IMG\center_2020_10_23_22_51_53_105.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\left_2020_10_23_22_51_53_105.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\right_2020_10_23_22_51_53_105.jpg, 0, 0, 0, 7.994327E-05
D:\Downloads\simulator-windows-64\Ans0001\IMG\center_2020_10_23_22_51_53_208.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\left_2020_10_23_22_51_53_208.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\right_2020_10_23_22_51_53_208.jpg, 0, 0, 0, 7.864918E-05
D:\Downloads\simulator-windows-64\Ans0001\IMG\center_2020_10_23_22_51_53_310.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\left_2020_10_23_22_51_53_310.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\right_2020_10_23_22_51_53_310.jpg, 0, 0, 0, 7.93628E-05
D:\Downloads\simulator-windows-64\Ans0001\IMG\center_2020_10_23_22_51_53_414.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\left_2020_10_23_22_51_53_414.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\right_2020_10_23_22_51_53_414.jpg, 0, 0, 0, 7.91577E-05
D:\Downloads\simulator-windows-64\Ans0001\IMG\center_2020_10_23_22_51_53_516.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\left_2020_10_23_22_51_53_516.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\right_2020_10_23_22_51_53_516.jpg, 0, 0, 0, 8.110826E-05
D:\Downloads\simulator-windows-64\Ans0001\IMG\center_2020_10_23_22_51_53_618.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\left_2020_10_23_22_51_53_618.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\right_2020_10_23_22_51_53_618.jpg, 0, 0, 0, 7.983431E-05
D:\Downloads\simulator-windows-64\Ans0001\IMG\center_2020_10_23_22_51_53_719.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\left_2020_10_23_22_51_53_719.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\right_2020_10_23_22_51_53_719.jpg, 0, 0, 0, 7.894117E-05
D:\Downloads\simulator-windows-64\Ans0001\IMG\center_2020_10_23_22_51_53_822.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\left_2020_10_23_22_51_53_822.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\right_2020_10_23_22_51_53_822.jpg, 0, 0, 0, 8.155865E-05
D:\Downloads\simulator-windows-64\Ans0001\IMG\center_2020_10_23_22_51_53_924.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\left_2020_10_23_22_51_53_924.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\right_2020_10_23_22_51_53_924.jpg, 0, 0, 0, 7.874325E-05
D:\Downloads\simulator-windows-64\Ans0001\IMG\center_2020_10_23_22_51_54_025.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\left_2020_10_23_22_51_54_025.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\right_2020_10_23_22_51_54_025.jpg, 0, 0.2726391, 0, 0.2072953
D:\Downloads\simulator-windows-64\Ans0001\IMG\center_2020_10_23_22_51_54_129.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\left_2020_10_23_22_51_54_129.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\right_2020_10_23_22_51_54_129.jpg, 0, 0.5715585, 0, 0.7237473
D:\Downloads\simulator-windows-64\Ans0001\IMG\center_2020_10_23_22_51_54_229.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\left_2020_10_23_22_51_54_229.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\right_2020_10_23_22_51_54_229.jpg, 0, 0.8668086, 0, 1.665337
D:\Downloads\simulator-windows-64\Ans0001\IMG\center_2020_10_23_22_51_54_333.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\left_2020_10_23_22_51_54_333.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\right_2020_10_23_22_51_54_333.jpg, 0, 1, 0, 3.074069
D:\Downloads\simulator-windows-64\Ans0001\IMG\center_2020_10_23_22_51_54_438.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\left_2020_10_23_22_51_54_438.jpg, D:\Downloads\simulator-windows-64\Ans0001\IMG\right_2020_10_23_22_51_54_438.jpg, 0, 1, 0, 4.246103
